,11,12,13,14,21,22,23,24,31,32,33,34,41,42,43,44
58,12,1,1,4,8,5,10,2,4,1,1,3,1,3,1,1
62,1,0,1,1,1,0,1,2,5,1,0,1,3,3,0,0
135,8,1,0,1,6,0,3,1,7,1,2,1,0,7,0,0
228,7,3,1,3,18,1,2,2,5,0,2,2,0,3,0,0
325,0,0,0,0,0,0,1,3,1,3,0,3,1,4,0,1
361,1,0,0,1,0,0,1,2,3,0,2,2,1,1,0,1
428,0,1,0,0,0,0,0,3,8,1,0,1,1,3,1,0
432,2,0,0,14,5,4,6,2,0,3,0,1,0,0,0,1
441,4,1,1,2,4,1,4,1,3,2,0,2,0,0,0,2
443,6,1,3,0,7,2,0,0,10,1,0,3,1,1,0,0
444,2,1,0,1,2,0,2,0,10,1,2,4,0,7,0,0
449,0,0,0,7,3,0,7,1,4,1,0,0,0,3,0,0
463,17,4,0,8,6,0,2,2,0,2,1,1,0,2,1,0
477,1,1,0,0,0,1,0,2,1,0,0,0,0,2,1,0
488,8,0,3,3,14,0,4,4,7,0,0,1,0,15,0,1
533,1,1,0,5,3,0,5,1,8,1,0,1,0,4,4,0
534,7,0,0,3,7,0,4,0,1,0,1,5,1,14,0,0
535,0,1,0,0,1,0,1,1,1,0,0,0,0,2,1,0
635,4,1,0,0,4,0,1,2,3,0,1,2,1,10,0,2
672,0,0,2,7,5,2,4,1,1,0,0,1,1,2,0,0
673,0,0,0,1,1,0,4,3,4,1,1,0,1,2,1,0
691,1,0,0,2,4,0,3,5,5,1,1,4,4,6,0,1
699,4,0,0,5,3,0,1,4,5,0,2,6,0,7,0,2
700,0,2,0,0,0,0,1,0,5,0,0,1,0,10,0,1
714,0,0,0,0,0,0,0,0,1,1,1,7,0,2,0,1
717,2,0,0,1,4,0,2,0,2,1,4,3,0,0,0,1
746,2,1,0,0,2,0,1,7,7,1,1,4,0,5,0,3
747,1,0,2,0,2,0,0,1,0,0,2,1,2,1,0,1
789,5,0,1,0,1,0,4,1,4,1,1,4,1,5,0,0
901,1,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0
910,4,1,0,0,0,0,3,1,3,0,0,4,0,3,0,2
919,7,0,6,9,14,0,0,2,8,4,4,1,0,0,2,0
920,1,0,0,2,1,1,1,3,1,0,1,0,2,0,0,0
934,0,0,0,0,1,0,2,4,4,1,1,1,2,3,2,1
968,0,0,0,1,0,0,0,1,2,3,0,1,0,0,0,0
969,5,0,1,1,4,0,2,1,4,1,1,1,2,6,0,0
1020,1,0,0,3,2,0,4,2,1,0,1,1,1,1,0,0
1103,1,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0
1113,1,0,0,0,1,0,5,4,0,2,1,0,0,3,0,0
1157,8,0,1,2,8,0,4,0,2,2,0,1,2,4,0,1
1177,0,0,0,3,2,0,5,2,1,0,0,1,2,0,0,1
1184,2,0,0,0,2,0,1,1,2,3,1,0,0,5,0,0
1251,3,0,0,0,3,0,0,1,2,0,0,2,0,2,0,1
1286,0,0,0,1,5,0,3,3,1,0,0,3,1,2,2,1
1306,10,2,2,3,4,0,1,2,10,1,3,0,2,6,0,0
1338,3,1,0,1,5,1,6,6,3,0,0,1,0,2,1,0
1398,0,1,0,1,3,0,2,0,3,1,0,1,0,3,0,4
1417,13,1,2,5,11,0,5,0,5,4,2,0,1,5,0,1
1420,2,0,1,1,2,0,3,2,3,1,0,1,1,2,1,1
1447,2,0,1,2,2,0,4,4,2,0,4,1,2,1,2,1
1453,9,2,0,0,7,0,0,1,5,0,0,1,4,5,0,3
1454,2,1,0,1,3,0,1,2,4,0,0,1,0,4,2,0
1539,16,2,1,3,11,1,3,2,6,2,0,3,0,3,1,0
1560,11,8,2,3,5,0,2,1,1,1,2,0,2,2,6,0
1561,5,0,1,1,3,0,1,1,2,0,0,1,1,3,0,1
1562,0,0,2,0,2,0,1,0,1,0,0,1,2,1,0,0
1572,5,3,1,1,7,1,5,1,7,4,4,2,5,2,2,1
1582,1,0,1,0,3,0,0,2,0,0,0,8,2,2,2,3
1662,2,0,0,0,1,0,1,2,1,0,0,5,0,2,0,3
1664,0,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0
1766,9,0,1,2,9,0,1,0,3,0,1,1,1,6,1,0
1776,3,6,0,0,2,0,1,0,2,0,2,5,0,14,0,0
1795,1,0,0,1,2,0,1,0,3,0,0,0,0,3,0,0
1831,1,3,0,1,2,0,3,0,1,0,6,4,0,11,1,0
1832,2,1,0,2,3,0,3,1,0,0,0,1,0,0,0,1
1855,9,1,1,1,4,0,4,0,1,1,0,4,1,3,1,1
1861,1,2,0,1,11,1,1,4,2,1,1,2,0,2,1,3
1871,0,0,3,3,2,0,2,1,4,0,0,0,4,0,0,1
1884,1,3,0,0,1,0,0,0,0,0,0,0,1,1,1,1
1908,3,0,3,1,2,0,3,1,4,1,0,3,4,1,1,4
1926,7,2,2,2,2,0,2,0,1,0,0,3,1,0,0,2
1943,3,0,0,0,2,0,0,0,3,0,1,2,1,2,2,1
1955,2,1,2,2,1,0,3,0,1,1,0,0,0,0,0,0
2008,8,2,1,3,12,0,0,1,4,0,4,2,1,1,0,1
2022,2,1,0,1,2,0,0,0,5,0,0,0,0,4,0,3
2025,2,0,1,1,3,0,0,4,1,0,0,1,1,1,0,1
2035,3,0,0,3,3,0,3,2,0,1,1,1,0,1,0,1
2041,11,2,1,4,9,2,11,1,6,1,1,4,3,7,0,3
2042,1,0,0,1,1,1,13,3,1,0,0,1,2,1,0,1
2057,6,0,0,0,4,0,1,0,2,1,1,2,4,6,0,0
2064,6,0,0,0,0,0,2,1,5,1,0,1,0,2,0,4
2083,1,0,1,2,2,0,5,4,2,1,0,0,0,2,0,0
2100,8,0,1,3,4,0,2,8,4,2,0,0,0,2,0,1
2114,3,2,1,2,10,0,1,5,1,0,2,0,1,1,3,0
2117,0,0,0,0,0,0,3,1,4,0,0,1,3,0,0,1
2135,3,2,1,0,3,0,2,0,2,0,0,0,1,1,1,0
2136,4,0,0,0,2,0,1,0,3,0,1,8,6,4,0,3
2138,8,2,2,0,4,0,2,1,3,1,0,1,2,3,0,0
2142,1,5,0,5,4,0,0,2,3,0,1,1,2,1,0,2
2218,0,6,0,1,0,0,0,3,5,2,2,1,0,10,1,1
2330,4,2,0,2,7,0,1,2,5,0,2,0,0,4,1,1
2351,2,1,0,4,4,0,7,3,3,0,0,0,0,3,0,1
2379,3,1,1,1,3,0,2,0,0,1,1,2,0,5,0,1
2411,7,5,0,3,14,6,6,1,4,2,1,3,1,4,0,5
2440,0,0,1,0,0,0,3,2,1,1,0,2,1,2,0,0
2452,4,2,0,5,7,0,5,3,0,0,0,1,0,1,1,1
2495,1,0,0,0,3,1,1,1,2,1,0,0,0,0,0,1
2505,1,1,0,0,1,0,1,2,2,0,2,0,0,1,2,0
2521,0,0,2,1,1,0,2,2,6,0,1,6,4,3,1,8
2541,12,4,0,2,7,0,0,0,10,0,1,1,0,4,2,3
2580,0,0,0,1,2,0,0,2,3,0,5,1,0,3,1,0
2612,0,0,2,1,3,1,3,3,3,0,1,1,2,1,0,1
2671,12,1,3,3,13,0,2,0,11,2,1,1,1,4,1,3
2694,6,1,0,2,5,0,2,0,4,0,0,0,0,1,0,0
2742,2,2,0,0,3,0,1,1,2,1,0,1,2,4,1,1
2756,1,0,0,4,1,0,9,1,4,1,1,0,3,1,0,1
2788,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,2
2831,0,3,0,7,8,3,4,2,2,0,1,0,1,1,0,0
2867,0,1,1,8,4,1,6,2,5,0,1,0,1,1,1,0
2897,5,1,0,0,5,0,8,2,5,3,4,1,2,6,0,1
2920,1,0,0,0,2,0,1,2,3,0,1,0,0,3,0,0
2963,6,2,1,1,6,0,2,4,2,0,4,0,0,3,7,1
3030,1,0,2,3,3,0,0,3,1,0,0,1,1,0,1,0
3044,4,1,0,0,1,0,1,1,5,2,1,1,2,3,1,1
3046,0,6,0,0,1,0,1,2,3,0,2,2,0,9,0,0
3049,1,0,2,0,2,1,0,1,2,0,1,1,1,0,1,0
3055,0,10,0,0,1,0,0,0,4,0,2,0,0,14,1,0
3089,0,2,0,0,2,0,0,0,2,0,16,1,8,2,7,0
3111,0,1,0,0,0,0,0,1,2,0,5,1,0,3,0,0
3157,10,3,0,0,4,0,1,0,3,3,2,2,0,1,10,2
3160,4,3,0,15,14,1,5,2,1,1,1,1,0,4,1,1
3164,3,3,1,7,8,0,3,0,3,1,1,2,1,0,2,1
3204,0,3,2,0,3,0,0,1,2,0,0,2,3,2,0,2
3228,0,1,0,0,0,0,2,0,5,1,10,2,4,6,0,3
3234,3,1,0,2,0,0,2,3,0,2,0,0,0,2,0,3
3252,7,1,0,2,7,0,0,0,2,0,1,2,0,2,1,1
3271,3,2,1,0,2,0,0,0,5,0,6,1,2,4,7,1
3333,3,1,0,1,4,0,0,2,1,0,1,1,0,2,0,0
3369,2,0,3,1,2,1,1,1,2,0,1,1,1,1,2,0
3371,4,1,4,1,1,0,4,4,5,1,1,1,3,7,2,2
3374,2,2,0,3,5,1,0,3,6,0,1,3,1,3,2,2
3382,8,2,0,1,7,0,2,1,2,1,0,2,1,12,2,1
3427,7,1,1,7,11,0,1,0,2,1,0,1,0,2,0,1
3430,4,0,1,1,4,0,3,0,3,0,0,0,1,1,0,1
3463,0,0,4,0,1,1,2,5,5,1,0,1,4,2,0,1
