,0
"('biodivers',)",18
"('forest',)",18
"('specialis',)",18
"('pan',)",18
"('lift',)",18
"('rich',)",18
"('subject',)",18
"('creativ',)",18
"('semant',)",18
"('primarili',)",18
"('der',)",18
"('transact',)",18
"('mw',)",18
"('specialist',)",18
"('audienc',)",18
"('reactor',)",18
"('fog',)",18
"('fiber',)",18
"('behind',)",18
"('review',)",18
"('tertiari',)",18
"('either',)",18
"('newli',)",18
"('smartphon',)",18
"('en',)",18
"('dual',)",18
"('recogn',)",18
"('portabl',)",18
"('sdg',)",18
"('discoveri',)",18
"('focuss',)",18
"('piezoelectr',)",18
"('certifi',)",18
"('schedul',)",18
"('thermo',)",18
"('turkey',)",18
"('carrier',)",18
"('decentralis',)",18
"('hold',)",18
"('asia',)",18
"('trainer',)",18
"('whether',)",17
"('aviat',)",17
"('mine',)",17
"('drink',)",17
"('cagr',)",17
"('miss',)",17
"('tri',)",17
"('mid',)",17
"('hungari',)",17
"('kg',)",17
"('push',)",17
"('underpin',)",17
"('intersector',)",17
"('failur',)",17
"('kit',)",17
"('gnss',)",17
"('citizenship',)",17
"('soft',)",17
"('quick',)",17
"('cabl',)",17
"('enough',)",17
"('logic',)",17
"('droplet',)",17
"('hydro',)",17
"('phd',)",17
"('radar',)",17
"('attribut',)",17
"('confid',)",17
"('secondari',)",17
"('goe',)",17
"('romania',)",17
"('finland',)",17
"('factori',)",17
"('ibroad',)",17
"('degre',)",17
"('front',)",17
"('perman',)",17
"('allianc',)",17
"('vs',)",17
"('rule',)",17
"('substitut',)",17
"('fi',)",17
"('buse',)",17
"('subsequ',)",17
"('denmark',)",17
"('recruit',)",17
"('overarch',)",17
"('restrict',)",17
"('fine',)",17
"('stack',)",17
"('seen',)",17
"('properli',)",17
"('percept',)",17
"('truli',)",17
"('bike',)",17
"('transdisciplinari',)",17
"('winter',)",17
"('obstacl',)",17
"('pioneer',)",17
"('coastal',)",17
"('static',)",17
"('satisfi',)",17
"('motion',)",17
"('mostli',)",17
"('geometri',)",16
"('airport',)",16
"('nanotechnolog',)",16
"('ration',)",16
"('council',)",16
"('textil',)",16
"('coach',)",16
"('ua',)",16
"('eera',)",16
"('permit',)",16
"('macro',)",16
"('vari',)",16
"('wheel',)",16
"('quickli',)",16
"('sh',)",16
"('stress',)",16
"('india',)",16
"('lie',)",16
"('optimum',)",16
"('boundari',)",16
"('accompani',)",16
"('presenc',)",16
"('decid',)",16
"('cope',)",16
"('latest',)",16
"('fail',)",16
"('outdoor',)",16
"('china',)",16
"('supervis',)",16
"('enorm',)",16
"('eur',)",16
"('categori',)",16
"('smaller',)",16
"('african',)",16
"('rather',)",16
"('feed',)",16
"('typolog',)",16
"('alway',)",16
"('incl',)",16
"('ethanol',)",16
"('french',)",16
"('outstand',)",16
"('salt',)",16
"('planet',)",16
"('reactiv',)",16
"('mind',)",16
"('competitor',)",16
"('treat',)",16
"('customis',)",16
"('hydropow',)",16
"('impli',)",16
"('tempor',)",16
"('strive',)",16
"('bacteria',)",16
"('employe',)",16
"('demolit',)",16
"('rf',)",16
"('usabl',)",16
"('pass',)",16
"('eas',)",16
"('split',)",16
"('content',)",16
"('freshwat',)",16
"('begin',)",16
"('publish',)",16
"('date',)",16
"('lesson',)",16
"('pa',)",16
"('aerosol',)",16
"('converg',)",15
"('constant',)",15
"('greatli',)",15
"('microorgan',)",15
"('nuclear',)",15
"('latenc',)",15
"('ci',)",15
"('multifamili',)",15
"('hpc',)",15
"('symbiosi',)",15
"('intermitt',)",15
"('nb',)",15
"('prof',)",15
"('manual',)",15
"('bundl',)",15
"('compromis',)",15
"('appeal',)",15
"('transnat',)",15
"('republ',)",15
"('eo',)",15
"('version',)",15
"('coven',)",15
"('crisi',)",15
"('print',)",15
"('broader',)",15
"('exhibit',)",15
"('hamper',)",15
"('strain',)",15
"('freight',)",15
"('cure',)",15
"('forese',)",15
"('mount',)",15
"('inhabit',)",15
"('fluctuat',)",15
"('phenomena',)",15
"('actuat',)",15
"('tap',)",15
"('centuri',)",15
"('sludg',)",15
"('half',)",15
"('rri',)",15
"('bn',)",15
"('closer',)",15
"('contributor',)",15
"('er',)",15
"('habit',)",15
"('conceiv',)",15
"('italian',)",15
"('pt',)",15
"('precipit',)",15
"('underground',)",15
"('vacuum',)",15
"('document',)",15
"('think',)",15
"('qualit',)",15
"('dispers',)",15
"('floor',)",15
"('dens',)",15
"('travel',)",15
"('draw',)",15
"('contractor',)",15
"('upcom',)",15
"('repow',)",15
"('oxygen',)",15
"('theme',)",15
"('ngo',)",15
"('conflict',)",15
"('envisag',)",15
"('constrain',)",15
"('ratio',)",15
"('nich',)",15
"('uav',)",14
"('enrich',)",14
"('observatori',)",14
"('maritim',)",14
"('jointli',)",14
"('dissip',)",14
"('vtol',)",14
"('immedi',)",14
"('quantiti',)",14
"('craftsmen',)",14
"('autonomi',)",14
"('screen',)",14
"('middl',)",14
"('cognit',)",14
"('trajectori',)",14
"('ml',)",14
"('mobilis',)",14
"('flux',)",14
"('mentor',)",14
"('alloc',)",14
"('traction',)",14
"('prefer',)",14
"('drawback',)",14
"('electro',)",14
"('diseas',)",14
"('undertak',)",14
"('oven',)",14
"('height',)",14
"('gh',)",14
"('mention',)",14
"('superior',)",14
"('leak',)",14
"('emb',)",14
"('tune',)",14
"('csp',)",14
"('blind',)",14
"('bed',)",14
"('contact',)",14
"('sc',)",14
"('root',)",14
"('conceptu',)",14
"('ess',)",14
"('pellet',)",14
"('dataset',)",14
"('invert',)",14
"('bear',)",14
"('charter',)",14
"('mortgag',)",14
"('bandwidth',)",14
"('suffer',)",14
"('tip',)",14
"('shall',)",14
"('difficulti',)",14
"('check',)",14
"('ten',)",14
"('arrang',)",14
"('li',)",14
"('whi',)",14
"('regim',)",14
"('doctor',)",14
"('discret',)",14
"('mainstream',)",14
"('ireland',)",14
"('revolutionari',)",14
"('classic',)",14
"('sie',)",14
"('consortia',)",14
"('iea',)",14
"('invas',)",14
"('marketplac',)",14
"('ident',)",14
"('expos',)",14
"('everyday',)",14
"('slovenia',)",14
"('peri',)",13
"('consensu',)",13
"('burden',)",13
"('roundtabl',)",13
"('compli',)",13
"('democrat',)",13
"('forestri',)",13
"('porou',)",13
"('em',)",13
"('fr',)",13
"('wheeler',)",13
"('topolog',)",13
"('cfrp',)",13
"('cultiv',)",13
"('gut',)",13
"('infrar',)",13
"('tran',)",13
"('flagship',)",13
"('though',)",13
"('assum',)",13
"('advisor',)",13
"('sunlight',)",13
"('aerat',)",13
"('easier',)",13
"('czech',)",13
"('equilibrium',)",13
"('untap',)",13
"('organiz',)",13
"('excit',)",13
"('fresh',)",13
"('hard',)",13
"('switzerland',)",13
"('grade',)",13
"('sorption',)",13
"('tree',)",13
"('axi',)",13
"('wiser',)",13
"('talent',)",13
"('recognis',)",13
"('iter',)",13
"('microscopi',)",13
"('mayor',)",13
"('bond',)",13
"('fight',)",13
"('flame',)",13
"('te',)",13
"('export',)",13
"('prime',)",13
"('gmbh',)",13
"('scarc',)",13
"('northern',)",13
"('react',)",13
"('recharg',)",13
"('oem',)",13
"('wire',)",13
"('trillion',)",13
"('electrolyt',)",13
"('flood',)",13
"('supervisor',)",13
"('customiz',)",13
"('benefici',)",13
"('except',)",13
"('friction',)",13
"('retain',)",13
"('eic',)",13
"('firm',)",13
"('ancillari',)",13
"('nanoparticl',)",13
"('synthet',)",13
"('vibrat',)",13
"('vi',)",13
"('transmit',)",13
"('modal',)",13
"('believ',)",13
"('head',)",13
"('eeb',)",13
"('indirect',)",13
"('rare',)",12
"('bacteri',)",12
"('inertia',)",12
"('eventu',)",12
"('resolv',)",12
"('psycholog',)",12
"('remark',)",12
"('physiolog',)",12
"('humid',)",12
"('propuls',)",12
"('snow',)",12
"('synchron',)",12
"('protein',)",12
"('simplifi',)",12
"('electrocatalyst',)",12
"('ar',)",12
"('persist',)",12
"('veget',)",12
"('server',)",12
"('urbanis',)",12
"('beneficiari',)",12
"('umbrella',)",12
"('vienna',)",12
"('represent',)",12
"('express',)",12
"('pi',)",12
"('purif',)",12
"('latvia',)",12
"('conveni',)",12
"('revolution',)",12
"('barcelona',)",12
"('ministri',)",12
"('shallow',)",12
"('eed',)",12
"('discharg',)",12
"('har',)",12
"('phone',)",12
"('modif',)",12
"('filter',)",12
"('contrast',)",12
"('empa',)",12
"('unfortun',)",12
"('lv',)",12
"('cheap',)",12
"('conclus',)",12
"('cypru',)",12
"('discov',)",12
"('fp',)",12
"('interior',)",12
"('illumin',)",12
"('el',)",12
"('cyclic',)",12
"('chiller',)",12
"('tonn',)",12
"('intermedi',)",12
"('sectori',)",12
"('eastern',)",12
"('distanc',)",12
"('flat',)",12
"('door',)",12
"('eem',)",12
"('margin',)",12
"('techno',)",12
"('oblig',)",12
"('sampl',)",12
"('loan',)",12
"('index',)",12
"('processor',)",12
"('greener',)",12
"('copper',)",12
"('women',)",12
"('money',)",12
"('see',)",12
"('embodi',)",12
"('yearli',)",12
"('equat',)",12
"('favour',)",12
"('valv',)",12
"('count',)",12
"('heart',)",12
"('surround',)",12
"('river',)",12
"('lithium',)",12
"('nrg',)",12
"('correct',)",12
"('lock',)",12
"('orchestr',)",12
"('ecodesign',)",12
"('hope',)",12
"('hc',)",12
"('uam',)",12
"('inland',)",12
"('debat',)",12
"('isc',)",12
"('ferment',)",12
"('commut',)",12
"('ukrain',)",12
"('bulk',)",12
"('subsidi',)",12
"('chair',)",12
"('fatigu',)",12
"('arctic',)",11
"('demograph',)",11
"('ipr',)",11
"('credit',)",11
"('kick',)",11
"('attempt',)",11
"('supermarket',)",11
"('enso',)",11
"('colloid',)",11
"('depart',)",11
"('thorough',)",11
"('bm',)",11
"('pile',)",11
"('blue',)",11
"('meaning',)",11
"('pm',)",11
"('eh',)",11
"('planner',)",11
"('divid',)",11
"('spent',)",11
"('thermostat',)",11
"('beverag',)",11
"('welfar',)",11
"('rental',)",11
"('commod',)",11
"('merg',)",11
"('southern',)",11
"('interplay',)",11
"('cig',)",11
"('ash',)",11
"('finish',)",11
"('genet',)",11
"('fractur',)",11
"('electromobl',)",11
"('never',)",11
"('yr',)",11
"('undergo',)",11
"('predismart',)",11
"('ngcon',)",11
"('camera',)",11
"('exposur',)",11
"('rest',)",11
"('graduat',)",11
"('repair',)",11
"('explicit',)",11
"('mt',)",11
"('incub',)",11
"('tender',)",11
"('eit',)",11
"('blend',)",11
"('microstructur',)",11
"('super',)",11
"('tunnel',)",11
"('diagnost',)",11
"('hospit',)",11
"('contamin',)",11
"('rto',)",11
"('wavelength',)",11
"('vessel',)",11
"('heterostructur',)",11
"('workflow',)",11
"('speci',)",11
"('frequent',)",11
"('regen',)",11
"('solder',)",11
"('minut',)",11
"('tank',)",11
"('surveil',)",11
"('figur',)",11
"('inexpens',)",11
"('precast',)",11
"('shell',)",11
"('german',)",11
"('rock',)",11
"('ferroelectr',)",11
"('reconfigur',)",11
"('sg',)",11
"('migrat',)",11
"('stringent',)",11
"('reef',)",11
"('sw',)",11
"('cybersecur',)",11
"('meteorolog',)",11
"('concert',)",11
"('acquisit',)",11
"('fertil',)",11
"('preliminari',)",11
"('unifi',)",11
"('dark',)",11
"('blockchain',)",11
"('border',)",11
"('devis',)",11
"('belong',)",11
"('navig',)",11
"('unleash',)",11
"('ped',)",11
"('geolog',)",11
"('centralis',)",11
"('trustworthi',)",11
"('norm',)",11
"('steam',)",11
"('saf',)",11
"('renown',)",11
"('draft',)",11
"('thermodynam',)",11
"('matrix',)",11
"('swiss',)",11
"('cs',)",11
"('met',)",11
"('escap',)",11
"('dw',)",11
"('tco',)",11
"('compliant',)",11
"('eea',)",11
"('fusion',)",11
"('pavement',)",11
"('danger',)",11
"('croatia',)",10
"('nanoscal',)",10
"('radi',)",10
"('lost',)",10
"('crystal',)",10
"('committe',)",10
"('hydraul',)",10
"('aspir',)",10
"('ceram',)",10
"('practition',)",10
"('supramolecular',)",10
"('uniform',)",10
"('builder',)",10
"('pend',)",10
"('strict',)",10
"('importantli',)",10
"('empower',)",10
"('wealth',)",10
"('sphere',)",10
"('diesel',)",10
"('basqu',)",10
"('viral',)",10
"('biomethan',)",10
"('articl',)",10
"('unlik',)",10
"('band',)",10
"('redox',)",10
"('truck',)",10
"('morocco',)",10
"('fruit',)",10
"('leav',)",10
"('blueprint',)",10
"('encrypt',)",10
"('nfc',)",10
"('lwg',)",10
"('deepli',)",10
"('entrepreneurship',)",10
"('perfect',)",10
"('spong',)",10
"('unknown',)",10
"('civi',)",10
"('crowdfund',)",10
"('invis',)",10
"('necess',)",10
"('pur',)",10
"('contemporari',)",10
"('cream',)",10
"('choos',)",10
"('cater',)",10
"('metric',)",10
"('bem',)",10
"('magnitud',)",10
"('phoenix',)",10
"('coal',)",10
"('equival',)",10
"('eight',)",10
"('aero',)",10
"('nm',)",10
"('multipli',)",10
"('serbia',)",10
"('geospati',)",10
"('shelter',)",10
"('convinc',)",10
"('pace',)",10
"('spanish',)",10
"('broaden',)",10
"('rc',)",10
"('bankabl',)",10
"('possess',)",10
"('perfectli',)",10
"('sure',)",10
"('letter',)",10
"('dispatch',)",10
"('genom',)",10
"('entail',)",10
"('ltd',)",10
"('dashboard',)",10
"('weak',)",10
"('canada',)",10
"('sand',)",10
"('revis',)",10
"('synergist',)",10
"('agrobiomass',)",10
"('timber',)",10
"('anthropogen',)",10
"('ppp',)",10
"('neutron',)",10
"('variat',)",10
"('nanostructur',)",10
"('twofold',)",10
"('ic',)",10
"('syntroph',)",10
"('tripl',)",10
"('error',)",10
"('tile',)",10
"('impos',)",10
"('valoris',)",10
"('exa',)",10
"('bound',)",10
"('ateli',)",10
"('unman',)",10
"('sign',)",10
"('groundwat',)",10
"('ski',)",10
"('min',)",10
"('licens',)",10
"('deposit',)",10
"('gw',)",10
"('csa',)",10
"('safer',)",10
"('monetari',)",10
"('thermochem',)",10
"('forefront',)",10
"('powertrain',)",10
"('molecul',)",10
"('lod',)",10
"('distinct',)",10
"('pc',)",10
"('intent',)",10
"('cascad',)",10
"('literatur',)",9
"('confin',)",9
"('ordinari',)",9
"('sprem',)",9
"('retriev',)",9
"('esm',)",9
"('aerial',)",9
"('happen',)",9
"('solvent',)",9
"('random',)",9
"('mapkit',)",9
"('embrac',)",9
"('strand',)",9
"('photo',)",9
"('kitchen',)",9
"('personalis',)",9
"('seawat',)",9
"('magneto',)",9
"('explain',)",9
"('cellular',)",9
"('cap',)",9
"('nl',)",9
"('momentum',)",9
"('sport',)",9
"('aroma',)",9
"('globe',)",9
"('white',)",9
"('microfluid',)",9
"('graphen',)",9
"('gamif',)",9
"('curtain',)",9
"('grand',)",9
"('cradl',)",9
"('pictur',)",9
"('streamlin',)",9
"('tariff',)",9
"('repositori',)",9
"('america',)",9
"('labour',)",9
"('heavili',)",9
"('synthes',)",9
"('nd',)",9
"('linkag',)",9
"('crew',)",9
"('hydrolog',)",9
"('rigor',)",9
"('shore',)",9
"('appear',)",9
"('manipul',)",9
"('mio',)",9
"('chosen',)",9
"('bot',)",9
"('might',)",9
"('capitalis',)",9
"('nine',)",9
"('intak',)",9
"('lec',)",9
"('mileston',)",9
"('capex',)",9
"('waterway',)",9
"('eq',)",9
"('vibrant',)",9
"('echo',)",9
"('true',)",9
"('substanc',)",9
"('ubiquit',)",9
"('workforc',)",9
"('gamifi',)",9
"('endur',)",9
"('hestia',)",9
"('unconvent',)",9
"('digest',)",9
"('sophist',)",9
"('visualis',)",9
"('estonia',)",9
"('voluntari',)",9
"('neon',)",9
"('exponenti',)",9
"('madrid',)",9
"('irradi',)",9
"('collis',)",9
"('disaggreg',)",9
"('scan',)",9
"('cubbit',)",9
"('backbon',)",9
"('tuneabl',)",9
"('slovakia',)",9
"('si',)",9
"('rent',)",9
"('anaerob',)",9
"('cohes',)",9
"('obf',)",9
"('enzym',)",9
"('meso',)",9
"('spire',)",9
"('luminair',)",9
"('daylight',)",9
"('gbn',)",9
"('ff',)",9
"('reserv',)",9
"('neighbour',)",9
"('rollout',)",9
"('devot',)",9
"('correl',)",9
"('helmet',)",9
"('ledger',)",9
"('subsystem',)",9
"('twh',)",9
"('dl',)",9
"('industrialis',)",9
"('lake',)",9
"('cogener',)",9
"('seminar',)",9
"('poorli',)",9
"('tso',)",9
"('erc',)",9
"('mwh',)",9
"('agre',)",9
"('latter',)",9
"('lt',)",9
"('rotat',)",9
"('gallbladd',)",9
"('crack',)",9
"('master',)",9
"('unsustain',)",9
"('catalyt',)",9
"('intuit',)",9
"('hr',)",8
"('scarciti',)",8
"('unparallel',)",8
"('firstli',)",8
"('diatom',)",8
"('gr',)",8
"('gdp',)",8
"('telecommun',)",8
"('electrifi',)",8
"('town',)",8
"('mankind',)",8
"('qivivo',)",8
"('hundr',)",8
"('lay',)",8
"('landfil',)",8
"('spectral',)",8
"('histori',)",8
"('gan',)",8
"('fixat',)",8
"('sensibl',)",8
"('circul',)",8
"('np',)",8
"('disturb',)",8
"('solargap',)",8
"('star',)",8
"('mb',)",8
"('clay',)",8
"('caviti',)",8
"('pe',)",8
"('contractu',)",8
"('acknowledg',)",8
"('consciou',)",8
"('eoco',)",8
"('phev',)",8
"('tax',)",8
"('otherwis',)",8
"('smooth',)",8
"('seamlessli',)",8
"('electrochemistri',)",8
"('youth',)",8
"('nanophoton',)",8
"('eindhoven',)",8
"('passport',)",8
"('microb',)",8
"('probono',)",8
"('wi',)",8
"('outlin',)",8
"('catalys',)",8
"('intrins',)",8
"('resort',)",8
"('cornerston',)",8
"('relianc',)",8
"('iss',)",8
"('widen',)",8
"('propag',)",8
"('aforement',)",8
"('reward',)",8
"('realli',)",8
"('boat',)",8
"('stimuli',)",8
"('ms',)",8
"('interview',)",8
"('fashion',)",8
"('shortcom',)",8
"('ro',)",8
"('proxim',)",8
"('lighter',)",8
"('mm',)",8
"('epo',)",8
"('incid',)",8
"('ir',)",8
"('jet',)",8
"('nutrit',)",8
"('payment',)",8
"('inadequ',)",8
"('phenomenon',)",8
"('chamber',)",8
"('equal',)",8
"('assumpt',)",8
"('miniaturis',)",8
"('wherea',)",8
"('ran',)",8
"('israel',)",8
"('mesocryst',)",8
"('meur',)",8
"('rd',)",8
"('probabl',)",8
"('lo',)",8
"('accommod',)",8
"('microbiolog',)",8
"('agro',)",8
"('selector',)",8
"('descript',)",8
"('bind',)",8
"('sonnet',)",8
"('freeli',)",8
"('crowd',)",8
"('inorgan',)",8
"('valuat',)",8
"('ie',)",8
"('themselv',)",8
"('photosynthesi',)",8
"('attain',)",8
"('stronger',)",8
"('interfer',)",8
"('vicin',)",8
"('stone',)",8
"('familiar',)",8
"('score',)",8
"('craft',)",8
"('fertilis',)",8
"('formal',)",8
"('languag',)",8
"('nanomateri',)",8
"('recast',)",8
"('destruct',)",8
"('display',)",8
"('list',)",8
"('cdw',)",8
"('cube',)",8
"('axl',)",8
"('narr',)",8
"('qbiss',)",8
"('pharaon',)",8
"('mixtur',)",8
"('alongsid',)",8
"('hoc',)",8
"('tremend',)",8
"('wear',)",8
"('allevi',)",8
"('steer',)",8
"('agil',)",8
"('lcc',)",8
"('popular',)",8
"('finalis',)",8
"('ropeway',)",8
"('baselin',)",8
"('drop',)",8
"('fan',)",8
"('wwtp',)",8
"('biofuel',)",8
"('vapour',)",8
"('electrochrom',)",8
"('recreat',)",8
"('interrel',)",8
"('paper',)",8
"('confirm',)",8
"('latent',)",8
"('moment',)",8
"('elast',)",8
"('vr',)",8
"('command',)",8
"('equit',)",8
"('gb',)",8
"('shortag',)",8
"('circl',)",8
"('drought',)",8
"('morpholog',)",8
"('valor',)",8
"('bimerr',)",8
"('inject',)",8
"('round',)",8
"('intra',)",8
"('sediment',)",8
"('video',)",8
"('emfl',)",8
"('glazer',)",8
"('pld',)",8
"('wt',)",8
"('credibl',)",8
"('buy',)",8
"('foresight',)",8
"('render',)",8
"('visit',)",8
"('fall',)",8
"('mould',)",8
"('svelt',)",8
"('fli',)",8
"('ingredi',)",8
"('box',)",8
"('onto',)",8
"('rooftop',)",8
"('intrus',)",8
"('ren',)",8
"('superhom',)",7
"('wait',)",7
"('nevertheless',)",7
"('later',)",7
"('elv',)",7
"('sota',)",7
"('nesoi',)",7
"('prolifer',)",7
"('rhc',)",7
"('supercomput',)",7
"('evapor',)",7
"('downstream',)",7
"('let',)",7
"('confront',)",7
"('redesign',)",7
"('ecemf',)",7
"('bkh',)",7
"('tourism',)",7
"('death',)",7
"('adsorpt',)",7
"('subscript',)",7
"('attest',)",7
"('agribit',)",7
"('intersect',)",7
"('enit',)",7
"('regular',)",7
"('neglig',)",7
"('cea',)",7
"('precursor',)",7
"('terrestri',)",7
"('cleaner',)",7
"('defenc',)",7
"('pragmat',)",7
"('bev',)",7
"('watch',)",7
"('biodegrad',)",7
"('percentag',)",7
"('publicli',)",7
"('diagnosi',)",7
"('webinar',)",7
"('innopath',)",7
"('thrive',)",7
"('coil',)",7
"('encapsul',)",7
"('outlook',)",7
"('cai',)",7
"('conform',)",7
"('rational',)",7
"('classif',)",7
"('endeavour',)",7
"('reproduc',)",7
"('premis',)",7
"('binder',)",7
"('none',)",7
"('ta',)",7
"('zeb',)",7
"('amplifi',)",7
"('crane',)",7
"('stair',)",7
"('multilevel',)",7
"('mchp',)",7
"('assign',)",7
"('silent',)",7
"('kunak',)",7
"('settlement',)",7
"('dsm',)",7
"('storm',)",7
"('sci',)",7
"('personnel',)",7
"('geofluid',)",7
"('shar',)",7
"('soltil',)",7
"('dlt',)",7
"('harmonis',)",7
"('basin',)",7
"('tunabl',)",7
"('sisal',)",7
"('bpe',)",7
"('mirror',)",7
"('sophia',)",7
"('photosynthet',)",7
"('enforc',)",7
"('array',)",7
"('nze',)",7
"('invent',)",7
"('transduc',)",7
"('cu',)",7
"('aluminium',)",7
"('unstabl',)",7
"('chiral',)",7
"('promin',)",7
"('opex',)",7
"('certain',)",7
"('expenditur',)",7
"('esmart',)",7
"('normal',)",7
"('bright',)",7
"('june',)",7
"('ri',)",7
"('instanc',)",7
"('qube',)",7
"('flight',)",7
"('threaten',)",7
"('nox',)",7
"('sovereignti',)",7
"('machineri',)",7
"('airmour',)",7
"('kic',)",7
"('left',)",7
"('cop',)",7
"('annum',)",7
"('convect',)",7
"('ahead',)",7
"('eensul',)",7
"('exterior',)",7
"('hw',)",7
"('helsinki',)",7
"('pandem',)",7
"('disassembl',)",7
"('elg',)",7
"('msa',)",7
"('storey',)",7
"('aeronaut',)",7
"('corpor',)",7
"('princip',)",7
"('poc',)",7
"('session',)",7
"('ek',)",7
"('bold',)",7
"('monolith',)",7
"('solmat',)",7
"('rome',)",7
"('write',)",7
"('ce',)",7
"('biorefineri',)",7
"('routin',)",7
"('ribuild',)",7
"('dst',)",7
"('weed',)",7
"('russia',)",7
"('tz',)",7
"('piec',)",7
"('calcium',)",7
"('charact',)",7
"('unabl',)",7
"('effluent',)",7
"('tu',)",7
"('metro',)",7
"('hydrocarbon',)",7
"('tangibl',)",7
"('substat',)",7
"('mill',)",7
"('geometr',)",7
"('wine',)",7
"('newcom',)",7
"('geographi',)",7
"('multilay',)",7
"('incred',)",7
"('sofc',)",7
"('auto',)",7
"('workload',)",7
"('infinit',)",7
"('pesticid',)",7
"('anti',)",7
"('articul',)",7
"('cleantechblock',)",7
"('tc',)",7
"('healthier',)",7
"('geoss',)",7
"('iano',)",7
"('broadli',)",7
"('zdm',)",7
"('subsurfac',)",7
"('lumiduct',)",7
"('calibr',)",7
"('nanocomposit',)",7
"('mezero',)",7
"('submit',)",7
"('munich',)",7
"('auror',)",7
"('rtd',)",7
"('prioritis',)",7
"('exercis',)",7
"('indian',)",7
"('fc',)",7
"('videowindow',)",7
"('circumvent',)",7
"('lc',)",7
"('portion',)",7
"('smartspin',)",7
"('windibox',)",7
"('merit',)",7
"('peatland',)",7
"('mem',)",7
"('incentivis',)",7
"('optoelectron',)",7
"('downscal',)",7
"('templat',)",7
"('moder',)",7
"('fresco',)",7
"('flander',)",7
"('cen',)",7
"('cabin',)",7
"('uab',)",7
"('bioeconomi',)",7
"('virtuou',)",7
"('smarthé',)",7
"('hire',)",7
"('eip',)",7
"('supereh',)",7
"('probabilist',)",7
"('lean',)",7
"('encor',)",7
"('novelti',)",7
"('flex',)",7
"('corridor',)",7
"('partial',)",7
"('mortal',)",7
"('platina',)",7
"('deviat',)",7
"('startup',)",7
"('notabl',)",7
"('carbonac',)",7
"('older',)",7
"('continuum',)",7
"('helix',)",7
"('brand',)",7
"('wise',)",7
"('passion',)",7
"('pev',)",7
"('prefab',)",7
"('enpc',)",7
"('hydrousa',)",7
"('iwt',)",7
"('heater',)",7
"('bicar',)",7
"('harbour',)",6
"('ww',)",6
"('evolutionari',)",6
"('proport',)",6
"('enclosur',)",6
"('telecom',)",6
"('provinc',)",6
"('compressor',)",6
"('man',)",6
"('learnt',)",6
"('beenergi',)",6
"('chanc',)",6
"('brazil',)",6
"('sri',)",6
"('quantif',)",6
"('luminesc',)",6
"('gff',)",6
"('gdpr',)",6
"('microwav',)",6
"('enjoy',)",6
"('dome',)",6
"('emitt',)",6
"('opv',)",6
"('cablesmart',)",6
"('intermediari',)",6
"('airshad',)",6
"('saferup',)",6
"('parkunload',)",6
"('electromagnet',)",6
"('al',)",6
"('masonri',)",6
"('concurr',)",6
"('efficaci',)",6
"('setup',)",6
"('bi',)",6
"('buildinterest',)",6
"('previous',)",6
"('methanol',)",6
"('embark',)",6
"('rebound',)",6
"('voic',)",6
"('breath',)",6
"('metropolitan',)",6
"('volcano',)",6
"('neighborhood',)",6
"('smr',)",6
"('uncertain',)",6
"('favor',)",6
"('fuell',)",6
"('atlanti',)",6
"('hit',)",6
"('satisfact',)",6
"('criaterra',)",6
"('wors',)",6
"('cm',)",6
"('bior',)",6
"('wastag',)",6
"('sequenc',)",6
"('inequ',)",6
"('particul',)",6
"('colour',)",6
"('specifi',)",6
"('gear',)",6
"('sdo',)",6
"('surpass',)",6
"('indigen',)",6
"('tilt',)",6
"('virgin',)",6
"('cofund',)",6
"('cliff',)",6
"('implicit',)",6
"('tryst',)",6
"('ni',)",6
"('accsess',)",6
"('understood',)",6
"('metagenom',)",6
"('bar',)",6
"('commonli',)",6
"('greenfoot',)",6
"('catalysi',)",6
"('compil',)",6
"('interdepend',)",6
"('socialcar',)",6
"('parma',)",6
"('goflex',)",6
"('perceiv',)",6
"('trap',)",6
"('uv',)",6
"('biomed',)",6
"('nanochannel',)",6
"('methan',)",6
"('scatter',)",6
"('medicin',)",6
"('euroc',)",6
"('sought',)",6
"('ba',)",6
"('minor',)",6
"('stochast',)",6
"('tpv',)",6
"('merger',)",6
"('ethic',)",6
"('contin',)",6
"('mismatch',)",6
"('alcohol',)",6
"('realvalu',)",6
"('deliber',)",6
"('volcanolog',)",6
"('exergi',)",6
"('dissolv',)",6
"('dope',)",6
"('enlight',)",6
"('zinc',)",6
"('cert',)",6
"('tube',)",6
"('restor',)",6
"('microbiom',)",6
"('bambeng',)",6
"('pp',)",6
"('tiger',)",6
"('nurtur',)",6
"('seem',)",6
"('intensifi',)",6
"('slice',)",6
"('gelclad',)",6
"('macroscop',)",6
"('oscil',)",6
"('grail',)",6
"('neither',)",6
"('ett',)",6
"('infer',)",6
"('unlimit',)",6
"('fogprotect',)",6
"('agrowfab',)",6
"('elettrosystem',)",6
"('iaq',)",6
"('pick',)",6
"('immens',)",6
"('ramp',)",6
"('rotor',)",6
"('cec',)",6
"('elipt',)",6
"('irw',)",6
"('hydrogo',)",6
"('electrolysi',)",6
"('polar',)",6
"('invalu',)",6
"('conclud',)",6
"('supplement',)",6
"('squar',)",6
"('tight',)",6
"('length',)",6
"('fs',)",6
"('item',)",6
"('polymer',)",6
"('underfloor',)",6
"('revisit',)",6
"('osn',)",6
"('crossbar',)",6
"('mandat',)",6
"('deliver',)",6
